match_id,match_date,match_round,league_name,home_team,home_team_id,away_team,away_team_id,id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960632485,AttemptSaved,9823,526827,Konrad Laimer,96.0263157884,21.7571974559,42,,False,True,103.8620689656,31.78875,32.0175,0.0385263156,0.07708205282688141,0.1353638768196106,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.5244708994709, 'y': 0.010192146984126984, 'zoomRatio': 1}",False,True,522236.0,Konrad,Laimer,Konrad Laimer,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960633993,Miss,9823,860914,Luis Díaz,95.35087719170001,37.2025,43,,False,False,,,42.46625,4.940965524800001,0.04203919693827629,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.5836073261243171, 'zoomRatio': 0.446478665288646}",False,True,,Luis,Díaz,Luis Díaz,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960639613,AttemptSaved,9823,1029063,Michael Olise,97.1842105256,35.75375,45,1.0,False,True,103.2931034484,35.220000000000006,35.220000000000006,0.0834736838,0.13164089620113373,0.1945231854915619,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.6772486772486757, 'y': 0.02208298513227513, 'zoomRatio': 1}",False,True,522236.0,Michael,Olise,Michael Olise,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960665989,AttemptSaved,9823,1029063,Michael Olise,94.1929824545,43.720509549300004,47,,True,True,96.8947368413,41.772499999999994,34.915000000000006,1.2199999940000001,0.08835001289844513,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.7579365079365064, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Michael,Olise,Michael Olise,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960673881,AttemptSaved,10269,867080,Jeff Chabot,100.9224137934,27.950714285,52,,False,True,104.525862069,32.24625,31.865,1.4639999928,0.08781853318214417,0.38862738013267517,Header,RegularPlay,SecondHalf,False,"{'x': 1.5648148148148162, 'y': 0.38730158539682535, 'zoomRatio': 1}",False,True,27299.0,Jeff,Chabot,Jeff Chabot,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960673959,Goal,10269,928454,Josha Vagnoman,93.2,28.454999999,52,,False,True,,,32.779999999999994,1.9519999904,0.10891038179397583,0.38866961002349854,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.3227513227513243, 'y': 0.5164021138624338, 'zoomRatio': 1}",False,True,27299.0,Josha,Vagnoman,Josha Vagnoman,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960675993,AttemptSaved,9823,194165,Harry Kane,82.4849514568,32.24625,54,,True,True,86.889705882,32.474999999999994,33.61875,1.2199999940000001,0.026582172140479088,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Harry,Kane,Harry Kane,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960678237,Goal,9823,1029063,Michael Olise,92.6,36.5925,55,,False,True,,,36.97375,0.160526315,0.602142870426178,0.7766749262809753,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.21329365079365015, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,522236.0,Michael,Olise,Michael Olise,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960681929,Goal,10269,928454,Josha Vagnoman,4.74137931,32.6275,57,,False,True,,,32.779999999999994,1.7914736754,,,RightFoot,SetPiece,SecondHalf,True,"{'x': 1.3227513227513243, 'y': 0.47393483476190473, 'zoomRatio': 1}",False,True,522236.0,Josha,Vagnoman,Josha Vagnoman,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960684947,AttemptSaved,10269,614384,Maximilian Mittelstädt,83.723786408,41.888125,60,,True,True,89.6,39.713095239,33.8475,1.2199999940000001,0.022941628471016884,0.0,LeftFoot,IndividualPlay,SecondHalf,False,"{'x': 1.0403439153439162, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Maximilian,Mittelstädt,Maximilian Mittelstädt,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960685011,AttemptSaved,10269,1164506,Tiago Tomás,86.889705882,43.3001273835,60,,False,True,104.1465517242,34.0,35.29625000000001,0.4879999976,0.04405719414353371,0.06237724795937538,RightFoot,ThrowInSetPiece,SecondHalf,False,"{'x': 0.6570767195767175, 'y': 0.12910052846560846, 'zoomRatio': 1}",False,False,27299.0,Tiago,Tomás,Tiago Tomás,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960692075,AttemptSaved,10269,625175,Grischa Prömel,92.2,34.07625,65,,False,True,103.9568965518,34.38125,30.95,0.8154736802,0.021530454978346825,0.2953026592731476,Header,ThrowInSetPiece,SecondHalf,False,"{'x': 1.806878306878306, 'y': 0.2157337778306878, 'zoomRatio': 1}",False,True,27299.0,Grischa,Prömel,Grischa Prömel,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960697289,Miss,10269,840241,Ermedin Demirovic,93.2,45.4020382125,72,,False,False,,,33.8475,3.255172416,0.016257910057902336,0.0,LeftFoot,SetPiece,SecondHalf,False,"{'x': 1.031728096113366, 'y': 0.6772486772486772, 'zoomRatio': 0.7864406774329216}",False,True,,Ermedin,Demirovic,Ermedin Demirovic,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960698117,Miss,9823,1029063,Michael Olise,77.3043689336,40.553571429,73,,False,False,,,23.5788535077,0.7127368386,0.024239089339971542,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.06839332305007216, 'zoomRatio': 0.3627240057313249}",False,False,,Michael,Olise,Michael Olise,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960700957,AttemptSaved,9823,1473580,Aleksandar Pavlovic,87.31911764680001,30.492499999999996,77,,False,True,103.8620689656,33.695,36.97375,0.28252631440000003,0.12573504447937012,0.5818048119544983,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.21329365079365015, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,False,522236.0,Aleksandar,Pavlovic,Aleksandar Pavlovic,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960701247,AttemptSaved,9823,860914,Luis Díaz,93.5,42.1771875,77,,True,True,98.535087719,37.756,32.3225,1.2199999940000001,0.02843165397644043,0.0,LeftFoot,FromCorner,SecondHalf,False,"{'x': 1.4437830687830693, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Luis,Díaz,Luis Díaz,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960701755,AttemptSaved,9823,1473580,Aleksandar Pavlovic,103.103448276,39.545000001,77,,True,True,103.8620689656,37.708,36.745000000000005,1.2199999940000001,0.11783453077077866,0.0,Header,FromCorner,SecondHalf,False,"{'x': 0.2738095238095226, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Aleksandar,Pavlovic,Aleksandar Pavlovic,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960702839,AttemptSaved,9823,860914,Luis Díaz,91.1,38.116190478,78,,True,True,94.7719298231,37.2025,32.6275,1.2199999940000001,0.03943955898284912,0.0,RightFoot,FromCorner,SecondHalf,False,"{'x': 1.3630952380952386, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Luis,Díaz,Luis Díaz,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960702933,Miss,9823,1180288,Ismael Saibari,92.7,45.1217834353,78,,False,False,,,30.256,4.7063448344,0.033619873225688934,0.0,RightFoot,FromCorner,SecondHalf,False,"{'x': 1.5387660991361054, 'y': 0.6772486772486772, 'zoomRatio': 0.5439465423970294}",False,True,,Ismael,Saibari,Ismael Saibari,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960703865,AttemptSaved,10269,840241,Ermedin Demirovic,87.426470588,33.39,79,,True,True,94.675438595,34.305,35.60125,1.2199999940000001,0.08202338218688965,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.5763888888888888, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Ermedin,Demirovic,Ermedin Demirovic,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960706027,Goal,9823,1473580,Aleksandar Pavlovic,96.50877192889999,31.7125,82,,False,True,,,33.084999999999994,0.160526315,0.7232431769371033,0.58657306432724,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.2420634920634936, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,522236.0,Aleksandar,Pavlovic,Aleksandar Pavlovic,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960708917,Miss,9823,860914,Luis Díaz,84.51213592239999,23.088407647599997,85,,False,False,,,48.20458598450001,0.44305262940000006,0.30267882347106934,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0, 'y': 0.031190816112729895, 'zoomRatio': 0.266111240702455}",False,False,,Luis,Díaz,Luis Díaz,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960714175,Goal,9823,860914,Luis Díaz,95.0614035074,30.797499999999996,90,2.0,False,True,,,36.745000000000005,0.4879999976,0.6085941791534424,0.798898458480835,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.2738095238095226, 'y': 0.12910052846560846, 'zoomRatio': 1}",False,True,522236.0,Luis,Díaz,Luis Díaz,#C60428
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962133771,Miss,10189,882163,Chukwubuike Adamu,86.6749999996,31.4075,4,,False,False,100.3534482762,35.6775,43.5103184664,1.2456842044,0.0651448667049408,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.13098238600536966, 'zoomRatio': 0.39746303063927435}",False,False,,Chukwubuike,Adamu,Chukwubuike Adamu,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962136007,AttemptSaved,10189,860056,Moussa Sylla,102.155172414,24.419617839300003,6,,False,True,103.8620689656,29.043333332,32.09375,1.2199999940000001,0.6336837410926819,0.0,RightFoot,FastBreak,FirstHalf,False,"{'x': 1.5042989417989419, 'y': 0.32275132116402117, 'zoomRatio': 1}",True,True,,Moussa,Sylla,Moussa Sylla,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962137253,AttemptSaved,10189,820974,Ron Schallenberg,96.79824561320001,28.286904761,6,,False,True,103.19827586219999,32.09375,35.90625,0.160526315,0.06250917911529541,0.2760096788406372,Header,FromCorner,FirstHalf,False,"{'x': 0.49570105820105825, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,926445.0,Ron,Schallenberg,Ron Schallenberg,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962149185,AttemptSaved,10189,861668,Dejan Ljubicic,93.0,23.5788535077,15,,False,True,103.8620689656,31.4075,35.3725,1.0594736790000001,0.058562181890010834,0.19772382080554962,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.6369047619047613, 'y': 0.28028404206349206, 'zoomRatio': 1}",False,True,926445.0,Dejan,Ljubicic,Dejan Ljubicic,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962149479,Miss,10189,882163,Chukwubuike Adamu,100.44827586240001,28.454999999,15,,False,False,,,28.539047618000005,6.1488275976,0.44873154163360596,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.6014842209384876, 'y': 0.6772486772486772, 'zoomRatio': 0.41633953129523665}",False,True,,Chukwubuike,Adamu,Chukwubuike Adamu,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962153009,Goal,8406,198316,Michael Gregoritsch,102.53448275880001,32.6275,18,,False,True,,,32.6275,0.6099999970000001,0.9449546337127686,0.995267391204834,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.3630952380952386, 'y': 0.16137566058201058, 'zoomRatio': 1}",False,True,287894.0,Michael,Gregoritsch,Michael Gregoritsch,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962154859,AttemptSaved,8406,1310103,Anton Kade,91.0,30.05190476,20,,False,True,92.8,30.304,34.22875,0.1219999994,0.30237138271331787,0.27037256956100464,RightFoot,FastBreak,FirstHalf,False,"{'x': 0.9394841269841275, 'y': 0.032275132116402115, 'zoomRatio': 1}",False,True,287894.0,Anton,Kade,Anton Kade,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962160789,AttemptSaved,8406,1310103,Anton Kade,95.4473684198,26.69,29,,False,True,98.24561403470001,29.631666665,34.68625,0.0834736838,0.3612729012966156,0.2797045409679413,RightFoot,FastBreak,FirstHalf,False,"{'x': 0.8184523809523807, 'y': 0.02208298513227513, 'zoomRatio': 1}",False,True,287894.0,Anton,Kade,Anton Kade,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962161185,AttemptSaved,8406,1161211,Fabian Rieder,79.55679611760002,34.99125,30,,False,True,103.19827586219999,34.533750000000005,36.66875,0.40452631380000004,0.0424259677529335,0.11009059101343155,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.29398148148148073, 'y': 0.10701754333333334, 'zoomRatio': 1}",False,False,287894.0,Fabian,Rieder,Fabian Rieder,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962163797,AttemptSaved,10189,860056,Moussa Sylla,92.2,44.4211464923,33,,True,True,94.09649122639999,43.044375,34.915000000000006,1.2199999940000001,0.046326689422130585,0.0,LeftFoot,FastBreak,FirstHalf,False,"{'x': 0.7579365079365064, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Moussa,Sylla,Moussa Sylla,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962164531,AttemptSaved,10189,860056,Moussa Sylla,100.6379310348,31.559999999999995,34,,False,True,102.629310345,32.24625,32.9325,0.4879999976,0.3298633098602295,0.2615121304988861,RightFoot,FromCorner,FirstHalf,False,"{'x': 1.282407407407408, 'y': 0.12910052846560846, 'zoomRatio': 1}",False,True,926445.0,Moussa,Sylla,Moussa Sylla,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962165143,AttemptSaved,8406,1310103,Anton Kade,88.6,35.60125,35,,True,True,90.2,35.3725,33.31375,1.2199999940000001,0.04556999355554581,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.1815476190476193, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Anton,Kade,Anton Kade,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962173351,Miss,10189,1047664,Adil Aouchiche,87.31911764680001,30.244,41,,False,False,,,41.31,0.3595789456,0.16589152812957764,0.0,RightFoot,FastBreak,FirstHalf,False,"{'x': 0, 'y': 0.049190006238030076, 'zoomRatio': 0.5170998632010942}",False,False,,Adil,Aouchiche,Adil Aouchiche,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962180329,AttemptSaved,10189,1047664,Adil Aouchiche,79.8946601952,49.3256050933,45,1.0,False,True,104.051724138,35.0675,37.2025,0.20547368320000003,0.020177699625492096,0.11617565155029297,RightFoot,IndividualPlay,FirstHalf,False,"{'x': 0.15277777777777768, 'y': 0.05435811724867726, 'zoomRatio': 1}",False,False,926445.0,Adil,Aouchiche,Adil Aouchiche,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962203743,AttemptSaved,8406,1161211,Fabian Rieder,80.68300970960001,30.645,46,,False,True,102.72413793119999,33.8475,35.60125,1.5474736766000001,0.046659715473651886,0.07498831301927567,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.5763888888888888, 'y': 0.40938457052910054, 'zoomRatio': 1}",False,False,287894.0,Fabian,Rieder,Fabian Rieder,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962205059,AttemptSaved,8406,1310103,Anton Kade,94.1929824545,35.75375,47,,False,True,103.103448276,34.68625,34.07625,1.990526306,0.08439846336841583,0.02509414032101631,Header,RegularPlay,SecondHalf,False,"{'x': 0.9798280423280419, 'y': 0.5265942608465608, 'zoomRatio': 1}",False,True,287894.0,Anton,Kade,Anton Kade,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962205785,AttemptSaved,8406,556029,Marius Wolf,100.44827586240001,41.225952381,47,,False,True,104.051724138,35.3725,32.779999999999994,1.0979999946,0.04667065665125847,0.07528804987668991,Header,FromCorner,SecondHalf,False,"{'x': 1.3227513227513243, 'y': 0.29047618904761907, 'zoomRatio': 1}",False,True,287894.0,Marius,Wolf,Marius Wolf,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962216735,Miss,10189,860056,Moussa Sylla,79.55679611760002,27.278333333000003,55,,False,False,,,26.2853125,5.0626206976,0.034421008080244064,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.6562314672629322, 'zoomRatio': 0.4899744804958078}",False,False,,Moussa,Sylla,Moussa Sylla,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962218615,AttemptSaved,8406,1641063,Noahkai Banks,94.4824561388,24.699872616500002,57,,True,True,96.605263157,25.765,33.61875,1.2199999940000001,0.04689616709947586,0.0,RightFoot,ThrowInSetPiece,SecondHalf,False,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Noahkai,Banks,Noahkai Banks,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962222533,AttemptSaved,8406,1185609,Robin Fellhauer,80.4577669912,27.614523809,59,,True,True,90.6,30.22,33.39,1.2199999940000001,0.01197865977883339,0.0,RightFoot,FromCorner,SecondHalf,False,"{'x': 1.1613756613756612, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Robin,Fellhauer,Robin Fellhauer,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962228307,AttemptSaved,8406,198316,Michael Gregoritsch,79.3315533992,28.791190475,64,,False,True,103.6724137932,32.9325,35.90625,1.1365263102,0.06527866423130035,0.12123993784189224,LeftFoot,FreeKick,SecondHalf,False,"{'x': 0.49570105820105825, 'y': 0.30066833603174603, 'zoomRatio': 1}",False,False,287894.0,Michael,Gregoritsch,Michael Gregoritsch,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962231569,Miss,8406,1310103,Anton Kade,102.06034482780001,40.973809524,67,,False,False,102.8189655174,34.68625,24.6298089222,1.0723157842,0.16652998328208923,0.0,RightFoot,FromCorner,SecondHalf,False,"{'x': 2, 'y': 0.11443905202109984, 'zoomRatio': 0.4034069282701858}",False,True,,Anton,Kade,Anton Kade,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962232401,Miss,8406,1300329,Calvin Brackelmann,76.8538834968,48.2746496788,69,,False,False,,,37.684,5.305931043199999,0.01726337894797325,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.5297744907217257, 'y': 0.6772486772486772, 'zoomRatio': 0.48247894274480957}",False,False,,Calvin,Brackelmann,Calvin Brackelmann,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962233597,AttemptSaved,8406,198316,Michael Gregoritsch,96.9912280694,36.821250000000006,70,,False,True,103.4827586208,34.68625,35.0675,0.1219999994,0.0840592011809349,0.1239842101931572,Header,RegularPlay,SecondHalf,False,"{'x': 0.7175925925925919, 'y': 0.032275132116402115, 'zoomRatio': 1}",False,True,287894.0,Michael,Gregoritsch,Michael Gregoritsch,#B93733
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962233807,Miss,10189,518346,Robin Gosens,101.0172413796,28.454999999,71,,False,False,,,24.84,5.1842758704000005,0.23938825726509094,0.0,RightFoot,FastBreak,SecondHalf,False,"{'x': 2, 'y': 0.5659689814847164, 'zoomRatio': 0.41266375545851547}",False,True,,Robin,Gosens,Robin Gosens,#083890
5881144,2026-08-30T15:30:00.000Z,1,Bundesliga,Augsburg,8406,Schalke 04,10189,2962233967,AttemptSaved,8406,1185609,Robin Fellhauer,92.1,41.425625,71,,False,True,102.629310345,34.99125,36.21125,1.1365263102,0.10998230427503586,0.44555357098579407,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.41501322751322767, 'y': 0.30066833603174603, 'zoomRatio': 1}",False,True,287894.0,Robin,Fellhauer,Robin Fellhauer,#B93733
